original_team,normalized_team,matched_logo_name,match_score,matched_deduped_team,match_score_meta,logo_country,logo_league,logo_filename
KRC Genk,krc genk,krc genk,100.0,krc genk,100.0,Belgium,Pro League,KRC Genk - Belgium - Pro League.png
Beerschot AC,beerhot,beerhot va,82.35294117647058,beerhot,100.0,Belgium,Pro League,Beerschot - Belgium - Pro League.png
SV Zulte-Waregem,sv zulte waregem,sv zulte waregem,100.0,zulte waregem,85.71428571428572,Belgium,Pro League,Zulte Waregem - Belgium - Pro League.png
Sporting Lokeren,sporting lokeren,sporting cp,66.66666666666667,krc genk,33.333333333333336,Belgium,Pro League,KRC Genk - Belgium - Pro League.png
KSV Cercle Brugge,ksv cercle brugge,cercle brugge,86.66666666666667,krc genk,48.0,Belgium,Pro League,KRC Genk - Belgium - Pro League.png
RSC Anderlecht,r anderlecht,r anderlecht,100.0,beerhot,42.10526315789473,Belgium,Pro League,Beerschot - Belgium - Pro League.png
KAA Gent,kaa gent,kaa gent,100.0,krc genk,62.5,Belgium,Pro League,KRC Genk - Belgium - Pro League.png
RAEC Mons,raec mons,as mono,62.5,krc genk,47.05882352941176,Belgium,Pro League,KRC Genk - Belgium - Pro League.png
FCV Dender EH,v dender eh,v dender eh,100.0,beerhot,44.44444444444444,Belgium,Pro League,Beerschot - Belgium - Pro League.png
Standard de Liège,standard de liege,standard liege,90.32258064516128,zulte waregem,40.0,Belgium,Pro League,Zulte Waregem - Belgium - Pro League.png
KV Mechelen,kv mechelen,kv mechelen,100.0,krc genk,42.10526315789473,Belgium,Pro League,KRC Genk - Belgium - Pro League.png
Club Brugge KV,club brugge kv,club brugge kv,100.0,krc genk,45.45454545454546,Belgium,Pro League,KRC Genk - Belgium - Pro League.png
KSV Roeselare,ksv roeselare,kv mechelen,58.33333333333333,zulte waregem,30.76923076923077,Belgium,Pro League,Zulte Waregem - Belgium - Pro League.png
KV Kortrijk,kv kortrijk,kv kortrijk,100.0,krc genk,31.57894736842105,Belgium,Pro League,KRC Genk - Belgium - Pro League.png
Tubize,tubize,vizela,50.0,beerhot,30.76923076923077,Belgium,Pro League,Beerschot - Belgium - Pro League.png
Royal Excel Mouscron,royal excel mouron,royal antwerp,51.61290322580645,zulte waregem,32.25806451612904,Belgium,Pro League,Zulte Waregem - Belgium - Pro League.png
KVC Westerlo,kvc westerlo,kvc westerlo,100.0,beerhot,42.10526315789473,Belgium,Pro League,Beerschot - Belgium - Pro League.png
Sporting Charleroi,sporting charleroi,r charleroi,75.86206896551724,zulte waregem,32.25806451612904,Belgium,Pro League,Zulte Waregem - Belgium - Pro League.png
Sint-Truidense VV,sint truidense vv,sint truidense vv,100.0,zulte waregem,27.58620689655172,Belgium,Pro League,Zulte Waregem - Belgium - Pro League.png
Lierse SK,lierse sk,odense bk,55.55555555555556,zulte waregem,36.36363636363637,Belgium,Pro League,Zulte Waregem - Belgium - Pro League.png
KAS Eupen,kas eupen,kas eupen,100.0,krc genk,47.05882352941176,Belgium,Pro League,KRC Genk - Belgium - Pro League.png
Oud-Heverlee Leuven,oud heverlee leuven,oud heverlee leuven,100.0,zulte waregem,38.70967741935484,Belgium,Pro League,Zulte Waregem - Belgium - Pro League.png
Waasland-Beveren,waasland beveren,slovan liberec,60.0,beerhot,36.36363636363637,Belgium,Pro League,Beerschot - Belgium - Pro League.png
KV Oostende,kv oostende,kv oostende,100.0,krc genk,42.10526315789473,Belgium,Pro League,KRC Genk - Belgium - Pro League.png
Manchester United,manchester united,manchester united,100.0,beerhot,33.333333333333336,Belgium,Pro League,Beerschot - Belgium - Pro League.png
Newcastle United,newcastle united,newcastle united,100.0,zulte waregem,34.48275862068966,Belgium,Pro League,Zulte Waregem - Belgium - Pro League.png
Arsenal,arsenal,arsenal,100.0,krc genk,40.0,Belgium,Pro League,KRC Genk - Belgium - Pro League.png
West Bromwich Albion,west bromwich albion,brighton & hove albion,52.38095238095239,beerhot,29.629629629629623,Belgium,Pro League,Beerschot - Belgium - Pro League.png
Sunderland,sunderland,nordsjaelland,60.86956521739131,zulte waregem,26.086956521739136,Belgium,Pro League,Zulte Waregem - Belgium - Pro League.png
Liverpool,liverpool,liverpool,100.0,beerhot,37.5,Belgium,Pro League,Beerschot - Belgium - Pro League.png
West Ham United,west ham united,west ham united,100.0,zulte waregem,28.57142857142857,Belgium,Pro League,Zulte Waregem - Belgium - Pro League.png
Wigan Athletic,wigan athletic,athletic,72.72727272727273,zulte waregem,22.22222222222222,Belgium,Pro League,Zulte Waregem - Belgium - Pro League.png
Aston Villa,aston villa,aston villa,100.0,zulte waregem,25.0,Belgium,Pro League,Zulte Waregem - Belgium - Pro League.png
Manchester City,manchester city,manchester city,100.0,beerhot,36.36363636363637,Belgium,Pro League,Beerschot - Belgium - Pro League.png
Everton,everton,everton,100.0,beerhot,57.14285714285714,Belgium,Pro League,Beerschot - Belgium - Pro League.png
Blackburn Rovers,blkburn rovers,caykur rizespor,48.27586206896552,krc genk,36.36363636363637,Belgium,Pro League,KRC Genk - Belgium - Pro League.png
Middlesbrough,middlesbrough,if elfsborg,50.0,zulte waregem,30.76923076923077,Belgium,Pro League,Zulte Waregem - Belgium - Pro League.png
Tottenham Hotspur,tottenham hotspur,tottenham hotspur,100.0,beerhot,33.333333333333336,Belgium,Pro League,Beerschot - Belgium - Pro League.png
Bolton Wanderers,bolton wanderers,wolverhampton wanderers,76.92307692307692,zulte waregem,48.27586206896552,Belgium,Pro League,Zulte Waregem - Belgium - Pro League.png
Stoke City,stoke city,leicester city,66.66666666666667,zulte waregem,26.086956521739136,Belgium,Pro League,Zulte Waregem - Belgium - Pro League.png
Hull City,hull city,almere city,60.0,zulte waregem,27.27272727272727,Belgium,Pro League,Zulte Waregem - Belgium - Pro League.png
Fulham,fulham,fulham,100.0,zulte waregem,42.10526315789473,Belgium,Pro League,Zulte Waregem - Belgium - Pro League.png
Chelsea,chelsea,chelsea,100.0,zulte waregem,30.000000000000004,Belgium,Pro League,Zulte Waregem - Belgium - Pro League.png
Portsmouth,portsmouth,porto,66.66666666666667,beerhot,35.29411764705882,Belgium,Pro League,Beerschot - Belgium - Pro League.png
Birmingham City,birmingham city,man city,60.86956521739131,beerhot,36.36363636363637,Belgium,Pro League,Beerschot - Belgium - Pro League.png
Wolverhampton Wanderers,wolverhampton wanderers,wolverhampton wanderers,100.0,zulte waregem,38.888888888888886,Belgium,Pro League,Zulte Waregem - Belgium - Pro League.png
Burnley,burnley,burnley,100.0,zulte waregem,30.000000000000004,Belgium,Pro League,Zulte Waregem - Belgium - Pro League.png
Blackpool,blkpool,liverpool,62.5,beerhot,28.57142857142857,Belgium,Pro League,Beerschot - Belgium - Pro League.png
Swansea City,swansea city,man city,70.0,zulte waregem,24.0,Belgium,Pro League,Zulte Waregem - Belgium - Pro League.png
Queens Park Rangers,queens park rangers,sparta prague,56.25,zulte waregem,43.75,Belgium,Pro League,Zulte Waregem - Belgium - Pro League.png
Norwich City,norwich city,norwich,73.6842105263158,beerhot,31.57894736842105,Belgium,Pro League,Beerschot - Belgium - Pro League.png
Southampton,southampton,southampton,100.0,zulte waregem,33.333333333333336,Belgium,Pro League,Zulte Waregem - Belgium - Pro League.png
Reading,reading,r seraing,75.0,krc genk,40.0,Belgium,Pro League,KRC Genk - Belgium - Pro League.png
Crystal Palace,crystal pale,crystal pale,100.0,zulte waregem,32.0,Belgium,Pro League,Zulte Waregem - Belgium - Pro League.png
Cardiff City,cardiff city,almere city,60.86956521739131,beerhot,21.052631578947366,Belgium,Pro League,Beerschot - Belgium - Pro League.png
Leicester City,leicester city,leicester city,100.0,beerhot,38.095238095238095,Belgium,Pro League,Beerschot - Belgium - Pro League.png
Bournemouth,bournemouth,a bournemouth,91.66666666666666,beerhot,44.44444444444444,Belgium,Pro League,Beerschot - Belgium - Pro League.png
Watford,watford,watford,100.0,zulte waregem,30.000000000000004,Belgium,Pro League,Zulte Waregem - Belgium - Pro League.png
AJ Auxerre,aj auxerre,aj auxerre,100.0,zulte waregem,34.78260869565217,Belgium,Pro League,Zulte Waregem - Belgium - Pro League.png
FC Nantes,nantes,nantes,100.0,zulte waregem,21.052631578947366,Belgium,Pro League,Zulte Waregem - Belgium - Pro League.png
Girondins de Bordeaux,girondins de bordeaux,g bordeaux,64.51612903225806,zulte waregem,23.529411764705888,Belgium,Pro League,Zulte Waregem - Belgium - Pro League.png
SM Caen,sm caen,st gallen,62.5,krc genk,40.0,Belgium,Pro League,KRC Genk - Belgium - Pro League.png
Le Havre AC,le havre,le havre,100.0,zulte waregem,57.14285714285714,Belgium,Pro League,Zulte Waregem - Belgium - Pro League.png
OGC Nice,ogc nice,ogc nice,100.0,krc genk,37.5,Belgium,Pro League,KRC Genk - Belgium - Pro League.png
Le Mans FC,le mans,lechia gdansk,60.0,zulte waregem,40.0,Belgium,Pro League,Zulte Waregem - Belgium - Pro League.png
FC Lorient,lorient,lorient,100.0,krc genk,40.0,Belgium,Pro League,KRC Genk - Belgium - Pro League.png
Olympique Lyonnais,olympique lyonnais,olympique lyon,87.5,zulte waregem,25.806451612903224,Belgium,Pro League,Zulte Waregem - Belgium - Pro League.png
Toulouse FC,toulouse,toulouse,100.0,zulte waregem,28.57142857142857,Belgium,Pro League,Zulte Waregem - Belgium - Pro League.png
AS Monaco,as mono,as mono,100.0,krc genk,26.66666666666667,Belgium,Pro League,KRC Genk - Belgium - Pro League.png
Paris Saint-Germain,paris saint germain,paris saint germain,100.0,krc genk,38.46153846153846,Belgium,Pro League,KRC Genk - Belgium - Pro League.png
AS Nancy-Lorraine,as nancy lorraine,paris saint germain,55.55555555555556,zulte waregem,27.58620689655172,Belgium,Pro League,Zulte Waregem - Belgium - Pro League.png
LOSC Lille,lo lille,lo lille,100.0,zulte waregem,28.57142857142857,Belgium,Pro League,Zulte Waregem - Belgium - Pro League.png
Stade Rennais FC,stade rennais,stade rennais,100.0,zulte waregem,38.46153846153846,Belgium,Pro League,Zulte Waregem - Belgium - Pro League.png
Olympique de Marseille,olympique de marseille,olympique marseille,92.6829268292683,zulte waregem,40.0,Belgium,Pro League,Zulte Waregem - Belgium - Pro League.png
FC Sochaux-Montbéliard,sochaux montbeliard,montpellier,53.333333333333336,zulte waregem,32.25806451612904,Belgium,Pro League,Zulte Waregem - Belgium - Pro League.png
Grenoble Foot 38,grenoble foot 38,clermont foot 63,56.25,beerhot,34.78260869565217,Belgium,Pro League,Beerschot - Belgium - Pro League.png
Valenciennes FC,valenciennes,valencia cf,60.86956521739131,zulte waregem,32.0,Belgium,Pro League,Zulte Waregem - Belgium - Pro League.png
AS Saint-Étienne,as saint etienne,as saint etienne,100.0,zulte waregem,28.57142857142857,Belgium,Pro League,Zulte Waregem - Belgium - Pro League.png
RC Lens,rc lens,rc lens,100.0,krc genk,66.66666666666667,Belgium,Pro League,KRC Genk - Belgium - Pro League.png
Montpellier Hérault SC,montpellier herault,montpellier,73.33333333333334,beerhot,38.46153846153846,Belgium,Pro League,Beerschot - Belgium - Pro League.png
US Boulogne Cote D'Opale,us boulogne cote d'opale,sv zulte waregem,44.99999999999999,zulte waregem,37.83783783783784,Belgium,Pro League,Zulte Waregem - Belgium - Pro League.png
AC Arles-Avignon,arles avignon,celta de vigo,53.84615384615385,zulte waregem,32.0,Belgium,Pro League,Zulte Waregem - Belgium - Pro League.png
Stade Brestois 29,stade brestois 29,stade brestois 29,100.0,zulte waregem,33.333333333333336,Belgium,Pro League,Zulte Waregem - Belgium - Pro League.png
AC Ajaccio,ajcio,ajcio,100.0,beerhot,16.666666666666664,Belgium,Pro League,Beerschot - Belgium - Pro League.png
Évian Thonon Gaillard FC,evian thonon gaillard,aston villa,56.25,zulte waregem,23.529411764705888,Belgium,Pro League,Zulte Waregem - Belgium - Pro League.png
Dijon FCO,dijon o,sion,54.54545454545454,beerhot,14.28571428571429,Belgium,Pro League,Beerschot - Belgium - Pro League.png
Stade de Reims,stade de reims,stade reims,88.0,zulte waregem,44.44444444444444,Belgium,Pro League,Zulte Waregem - Belgium - Pro League.png
SC Bastia,bastia,boavista,71.42857142857143,beerhot,30.76923076923077,Belgium,Pro League,Beerschot - Belgium - Pro League.png
ES Troyes AC,es troyes,est troyes,94.73684210526316,beerhot,37.5,Belgium,Pro League,Beerschot - Belgium - Pro League.png
En Avant de Guingamp,en avant de guingamp,levante ud,53.333333333333336,zulte waregem,36.36363636363637,Belgium,Pro League,Zulte Waregem - Belgium - Pro League.png
FC Metz,metz,metz,100.0,beerhot,36.36363636363637,Belgium,Pro League,Beerschot - Belgium - Pro League.png
Angers SCO,angers o,angers o,100.0,beerhot,40.0,Belgium,Pro League,Beerschot - Belgium - Pro League.png
GFC Ajaccio,g ajcio,ajcio,83.33333333333334,zulte waregem,20.0,Belgium,Pro League,Zulte Waregem - Belgium - Pro League.png
FC Bayern Munich,bayern munich,bayern munich,100.0,beerhot,40.0,Belgium,Pro League,Beerschot - Belgium - Pro League.png
Hamburger SV,hamburger sv,rangers,52.63157894736843,zulte waregem,32.0,Belgium,Pro League,Zulte Waregem - Belgium - Pro League.png
Bayer 04 Leverkusen,bayer 04 leverkusen,bayer 04 leverkusen,100.0,beerhot,30.76923076923077,Belgium,Pro League,Beerschot - Belgium - Pro League.png
Borussia Dortmund,borussia dortmund,borussia dortmund,100.0,beerhot,33.333333333333336,Belgium,Pro League,Beerschot - Belgium - Pro League.png
FC Schalke 04,halke 04,halke 04,100.0,zulte waregem,28.57142857142857,Belgium,Pro League,Zulte Waregem - Belgium - Pro League.png
Hannover 96,hannover 96,angers o,52.63157894736843,beerhot,22.22222222222222,Belgium,Pro League,Beerschot - Belgium - Pro League.png
VfL Wolfsburg,vfl wolfsburg,vfl wolfsburg,100.0,zulte waregem,38.46153846153846,Belgium,Pro League,Zulte Waregem - Belgium - Pro League.png
1. FC Köln,1  koln,1 koln,92.3076923076923,krc genk,25.0,Belgium,Pro League,KRC Genk - Belgium - Pro League.png
Eintracht Frankfurt,eintrht frankfurt,eintrht frankfurt,100.0,beerhot,33.333333333333336,Belgium,Pro League,Beerschot - Belgium - Pro League.png
Hertha BSC Berlin,hertha b berlin,hertha b,69.56521739130434,krc genk,34.78260869565217,Belgium,Pro League,KRC Genk - Belgium - Pro League.png
DSC Arminia Bielefeld,d arminia bielefeld,arminia bielefeld,94.44444444444444,zulte waregem,31.25,Belgium,Pro League,Zulte Waregem - Belgium - Pro League.png
SV Werder Bremen,sv werder bremen,sv werder bremen,100.0,zulte waregem,41.3793103448276,Belgium,Pro League,Zulte Waregem - Belgium - Pro League.png
FC Energie Cottbus,energie cottbus,fenerbahce sk,50.0,beerhot,45.45454545454546,Belgium,Pro League,Beerschot - Belgium - Pro League.png
TSG 1899 Hoffenheim,tsg 1899 hoffenheim,tsg 1899 hoffenheim,100.0,zulte waregem,31.25,Belgium,Pro League,Zulte Waregem - Belgium - Pro League.png
Borussia Mönchengladbach,borussia monchengladbh,borussia monchengladbh,100.0,krc genk,26.66666666666667,Belgium,Pro League,KRC Genk - Belgium - Pro League.png
VfB Stuttgart,vfb stuttgart,vfb stuttgart,100.0,zulte waregem,30.76923076923077,Belgium,Pro League,Zulte Waregem - Belgium - Pro League.png
Karlsruher SC,karlsruher,kas eupen,52.63157894736843,krc genk,33.333333333333336,Belgium,Pro League,KRC Genk - Belgium - Pro League.png
VfL Bochum,vfl bochum,vfl bochum,100.0,zulte waregem,26.086956521739136,Belgium,Pro League,Zulte Waregem - Belgium - Pro League.png
SC Freiburg,freiburg,freiburg,100.0,zulte waregem,28.57142857142857,Belgium,Pro League,Zulte Waregem - Belgium - Pro League.png
1. FC Nürnberg,1  nurnberg,1 union berlin,56.00000000000001,zulte waregem,32.0,Belgium,Pro League,Zulte Waregem - Belgium - Pro League.png
1. FSV Mainz 05,1 fsv mainz 05,1fsv mainz 05,96.2962962962963,krc genk,17.391304347826086,Belgium,Pro League,KRC Genk - Belgium - Pro League.png
1. FC Kaiserslautern,1  kaiserslautern,kas eupen,53.84615384615385,krc genk,30.76923076923077,Belgium,Pro League,KRC Genk - Belgium - Pro League.png
FC St. Pauli,st pauli,st pauli,100.0,zulte waregem,27.27272727272727,Belgium,Pro League,Zulte Waregem - Belgium - Pro League.png
FC Augsburg,augsburg,augsburg,100.0,zulte waregem,28.57142857142857,Belgium,Pro League,Zulte Waregem - Belgium - Pro League.png
Fortuna Düsseldorf,fortuna dusseldorf,fortuna sittard,60.60606060606061,krc genk,23.076923076923077,Belgium,Pro League,KRC Genk - Belgium - Pro League.png
SpVgg Greuther Fürth,spvgg greuther furth,greuther furth,82.35294117647058,zulte waregem,30.303030303030297,Belgium,Pro League,Zulte Waregem - Belgium - Pro League.png
Eintracht Braunschweig,eintrht braunhweig,eintrht frankfurt,62.85714285714285,zulte waregem,32.25806451612904,Belgium,Pro League,Zulte Waregem - Belgium - Pro League.png
SC Paderborn 07,paderborn 07,degerfors if,50.0,beerhot,31.57894736842105,Belgium,Pro League,Beerschot - Belgium - Pro League.png
FC Ingolstadt 04,ingolstadt 04,livingston,43.47826086956522,zulte waregem,23.076923076923077,Belgium,Pro League,Zulte Waregem - Belgium - Pro League.png
SV Darmstadt 98,sv darmstadt 98,sv darmstadt 98,100.0,zulte waregem,28.57142857142857,Belgium,Pro League,Zulte Waregem - Belgium - Pro League.png
Atalanta,atalanta,atalanta bc,84.21052631578947,zulte waregem,28.57142857142857,Belgium,Pro League,Zulte Waregem - Belgium - Pro League.png
Siena,siena,arsenal,66.66666666666667,krc genk,30.76923076923077,Belgium,Pro League,KRC Genk - Belgium - Pro League.png
Cagliari,cagliari,cagliari calcio,69.56521739130434,zulte waregem,28.57142857142857,Belgium,Pro League,Zulte Waregem - Belgium - Pro League.png
Lazio,lazio,lazio,100.0,zulte waregem,22.22222222222222,Belgium,Pro League,Zulte Waregem - Belgium - Pro League.png
Catania,catania,casa pia,66.66666666666667,krc genk,26.66666666666667,Belgium,Pro League,KRC Genk - Belgium - Pro League.png
Genoa,genoa,genoa c,83.33333333333334,krc genk,46.15384615384615,Belgium,Pro League,KRC Genk - Belgium - Pro League.png
Chievo Verona,chievo verona,hellas verona,69.23076923076923,beerhot,40.0,Belgium,Pro League,Beerschot - Belgium - Pro League.png
Reggio Calabria,reggio calabria,r charleroi,53.84615384615385,zulte waregem,28.57142857142857,Belgium,Pro League,Zulte Waregem - Belgium - Pro League.png
Fiorentina,fiorentina,f fiorentina,90.9090909090909,krc genk,33.333333333333336,Belgium,Pro League,KRC Genk - Belgium - Pro League.png
Juventus,juventus,juventus,100.0,beerhot,26.66666666666667,Belgium,Pro League,Beerschot - Belgium - Pro League.png
Milan,milan,milan,100.0,zulte waregem,22.22222222222222,Belgium,Pro League,Zulte Waregem - Belgium - Pro League.png
Bologna,bologna,bologna  1909,70.0,beerhot,28.57142857142857,Belgium,Pro League,Beerschot - Belgium - Pro League.png
Roma,roma,as roma,72.72727272727273,beerhot,36.36363636363637,Belgium,Pro League,Beerschot - Belgium - Pro League.png
Napoli,napoli,s napoli,85.71428571428572,beerhot,15.384615384615383,Belgium,Pro League,Beerschot - Belgium - Pro League.png
Sampdoria,sampdoria,sampdoria,100.0,zulte waregem,18.181818181818176,Belgium,Pro League,Zulte Waregem - Belgium - Pro League.png
Inter,inter,winterthur,66.66666666666667,beerhot,33.333333333333336,Belgium,Pro League,Beerschot - Belgium - Pro League.png
Torino,torino,torino,100.0,beerhot,30.76923076923077,Belgium,Pro League,Beerschot - Belgium - Pro League.png
Lecce,lecce,us lecce,76.92307692307692,beerhot,33.333333333333336,Belgium,Pro League,Beerschot - Belgium - Pro League.png
Udinese,udinese,udinese calcio,66.66666666666667,zulte waregem,30.000000000000004,Belgium,Pro League,Zulte Waregem - Belgium - Pro League.png
Palermo,palermo,r charleroi,55.55555555555556,beerhot,42.85714285714286,Belgium,Pro League,Beerschot - Belgium - Pro League.png
Bari,bari,bayern,60.0,beerhot,36.36363636363637,Belgium,Pro League,Beerschot - Belgium - Pro League.png
Livorno,livorno,liverpool,62.5,beerhot,28.57142857142857,Belgium,Pro League,Beerschot - Belgium - Pro League.png
Parma,parma,as roma,66.66666666666667,zulte waregem,33.333333333333336,Belgium,Pro League,Zulte Waregem - Belgium - Pro League.png
