original_team,normalized_team,matched_logo_name,match_score,matched_deduped_team,match_score_meta,logo_country,logo_league,logo_filename,city,geocode_query,latitude,longitude
Zagłębie Lubin,zagebie lubin,zaglebie lubin,96.2962962962963,zulte waregem,30.76923076923077,Belgium,Pro League,Zulte Waregem - Belgium - Pro League.png,Zagłębie Lubin,"Zagłębie Lubin, Belgium",,
Podbeskidzie Bielsko-Biała,podbeskidzie bielsko biaa,odense boldklub,50.0,beerhot,25.806451612903224,Belgium,Pro League,Beerschot - Belgium - Pro League.png,Podbeskidzie Bielsko-Biała,"Podbeskidzie Bielsko-Biała, Belgium",,
Pogoń Szczecin,pogon szczecin,pogon szczecin,100.0,krc genk,27.27272727272727,Belgium,Pro League,KRC Genk - Belgium - Pro League.png,Pogoń Szczecin,"Pogoń Szczecin, Belgium",,
Zawisza Bydgoszcz,zawisza bydgoszcz,wisla plock,50.0,zulte waregem,26.66666666666667,Belgium,Pro League,Zulte Waregem - Belgium - Pro League.png,Zawisza Bydgoszcz,"Zawisza Bydgoszcz, Belgium",,
Górnik Łęczna,gornik eczna,gornik leczna,96.0,krc genk,40.0,Belgium,Pro League,KRC Genk - Belgium - Pro League.png,Górnik Łęczna,"Górnik Łęczna, Belgium",,
Termalica Bruk-Bet Nieciecza,termalica bruk bet nieciecza,termalica,48.64864864864865,zulte waregem,30.000000000000004,Belgium,Pro League,Zulte Waregem - Belgium - Pro League.png,Termalica Bruk-Bet Nieciecza,"Termalica Bruk-Bet Nieciecza, Belgium",,
FC Porto,porto,porto,100.0,beerhot,33.333333333333336,Belgium,Pro League,Beerschot - Belgium - Pro League.png,FC Porto,"FC Porto, Belgium",,
CF Os Belenenses,cf os belenenses,belenenses sad,66.66666666666667,krc genk,33.333333333333336,Belgium,Pro League,KRC Genk - Belgium - Pro League.png,CF Os Belenenses,"CF Os Belenenses, Belgium",,
Sporting CP,sporting cp,sporting cp,100.0,beerhot,22.22222222222222,Belgium,Pro League,Beerschot - Belgium - Pro League.png,Sporting CP,"Sporting CP, Belgium",,
Trofense,trofense,farense,66.66666666666667,zulte waregem,38.095238095238095,Belgium,Pro League,Zulte Waregem - Belgium - Pro League.png,Trofense,"Trofense, Belgium",,
Vitória Guimarães,vitoria guimaraes,vitoria guimaraes,100.0,zulte waregem,33.333333333333336,Belgium,Pro League,Zulte Waregem - Belgium - Pro League.png,Vitória Guimarães,"Vitória Guimarães, Belgium",,
Vitória Setúbal,vitoria setubal,vitoria guimaraes,62.5,krc genk,26.086956521739136,Belgium,Pro League,KRC Genk - Belgium - Pro League.png,Vitória Setúbal,"Vitória Setúbal, Belgium",,
FC Paços de Ferreira,pos de ferreira,pos de ferreira,100.0,zulte waregem,28.57142857142857,Belgium,Pro League,Zulte Waregem - Belgium - Pro League.png,FC Paços de Ferreira,"FC Paços de Ferreira, Belgium",,
SC Braga,braga,braga,100.0,beerhot,33.333333333333336,Belgium,Pro League,Beerschot - Belgium - Pro League.png,SC Braga,"SC Braga, Belgium",,
Amadora,amadora,sampdoria,75.0,zulte waregem,20.0,Belgium,Pro League,Zulte Waregem - Belgium - Pro League.png,Amadora,"Amadora, Belgium",,
Académica de Coimbra,ademica de coimbra,radomiak radom,56.25,zulte waregem,25.806451612903224,Belgium,Pro League,Zulte Waregem - Belgium - Pro League.png,Académica de Coimbra,"Académica de Coimbra, Belgium",,
Rio Ave FC,rio ave,rio ave,100.0,krc genk,40.0,Belgium,Pro League,KRC Genk - Belgium - Pro League.png,Rio Ave FC,"Rio Ave FC, Belgium",,
SL Benfica,sl benfica,sl benfica,100.0,krc genk,33.333333333333336,Belgium,Pro League,KRC Genk - Belgium - Pro League.png,SL Benfica,"SL Benfica, Belgium",,
Leixões SC,leixoes,olympios,53.333333333333336,zulte waregem,30.000000000000004,Belgium,Pro League,Zulte Waregem - Belgium - Pro League.png,Leixões SC,"Leixões SC, Belgium",,
CD Nacional,cd nional,cd nional,100.0,krc genk,35.29411764705882,Belgium,Pro League,KRC Genk - Belgium - Pro League.png,CD Nacional,"CD Nacional, Belgium",,
Naval 1° de Maio,naval 1 de maio,atletico de madrid,54.54545454545454,zulte waregem,28.57142857142857,Belgium,Pro League,Zulte Waregem - Belgium - Pro League.png,Naval 1° de Maio,"Naval 1° de Maio, Belgium",,
CS Marítimo,cs maritimo,cs maritimo,100.0,zulte waregem,33.333333333333336,Belgium,Pro League,Zulte Waregem - Belgium - Pro League.png,CS Marítimo,"CS Marítimo, Belgium",,
"União de Leiria, SAD",uniao de leiria sad,ud almeria,55.172413793103445,zulte waregem,31.25,Belgium,Pro League,Zulte Waregem - Belgium - Pro League.png,"União de Leiria, SAD","União de Leiria, SAD, Belgium",,
S.C. Olhanense,sc olhanense,cd leganes,63.63636363636363,krc genk,36.36363636363637,Belgium,Pro League,KRC Genk - Belgium - Pro League.png,S.C. Olhanense,"S.C. Olhanense, Belgium",,
Portimonense,portimonense,portimonense,100.0,krc genk,30.000000000000004,Belgium,Pro League,KRC Genk - Belgium - Pro League.png,Portimonense,"Portimonense, Belgium",,
SC Beira Mar,beira mar,real madrid,60.0,beerhot,37.5,Belgium,Pro League,Beerschot - Belgium - Pro League.png,SC Beira Mar,"SC Beira Mar, Belgium",,
Feirense,feirense,farense,80.0,zulte waregem,38.095238095238095,Belgium,Pro League,Zulte Waregem - Belgium - Pro League.png,Feirense,"Feirense, Belgium",,
Gil Vicente FC,gil vicente,gil vicente,100.0,zulte waregem,33.333333333333336,Belgium,Pro League,Zulte Waregem - Belgium - Pro League.png,Gil Vicente FC,"Gil Vicente FC, Belgium",,
Moreirense FC,moreirense,moreirense,100.0,zulte waregem,34.78260869565217,Belgium,Pro League,Zulte Waregem - Belgium - Pro League.png,Moreirense FC,"Moreirense FC, Belgium",,
Estoril Praia,estoril praia,estoril praia,100.0,zulte waregem,23.07692307692308,Belgium,Pro League,Zulte Waregem - Belgium - Pro League.png,Estoril Praia,"Estoril Praia, Belgium",,
FC Arouca,arouca,arouca,100.0,beerhot,30.76923076923077,Belgium,Pro League,Beerschot - Belgium - Pro League.png,FC Arouca,"FC Arouca, Belgium",,
FC Penafiel,penafiel,copenhagen,55.55555555555556,zulte waregem,28.57142857142857,Belgium,Pro League,Zulte Waregem - Belgium - Pro League.png,FC Penafiel,"FC Penafiel, Belgium",,
Boavista FC,boavista,boavista,100.0,beerhot,40.0,Belgium,Pro League,Beerschot - Belgium - Pro League.png,Boavista FC,"Boavista FC, Belgium",,
Uniao da Madeira,uniao da madeira,ud almeria,53.84615384615385,zulte waregem,27.58620689655172,Belgium,Pro League,Zulte Waregem - Belgium - Pro League.png,Uniao da Madeira,"Uniao da Madeira, Belgium",,
Tondela,tondela,cd tondela,82.35294117647058,zulte waregem,30.000000000000004,Belgium,Pro League,Zulte Waregem - Belgium - Pro League.png,Tondela,"Tondela, Belgium",,
Falkirk,falkirk,basaksehir fk,50.0,krc genk,40.0,Belgium,Pro League,KRC Genk - Belgium - Pro League.png,Falkirk,"Falkirk, Belgium",,
Rangers,rangers,rangers,100.0,krc genk,40.0,Belgium,Pro League,KRC Genk - Belgium - Pro League.png,Rangers,"Rangers, Belgium",51.0063043,5.514751173362675
Heart of Midlothian,heart of midlothian,heart of midlothian,100.0,beerhot,30.76923076923077,Belgium,Pro League,Beerschot - Belgium - Pro League.png,Heart of Midlothian,"Heart of Midlothian, Belgium",,
Motherwell,motherwell,motherwell,100.0,zulte waregem,34.78260869565217,Belgium,Pro League,Zulte Waregem - Belgium - Pro League.png,Motherwell,"Motherwell, Belgium",,
Kilmarnock,kilmarnock,kilmarnock,100.0,krc genk,44.44444444444444,Belgium,Pro League,KRC Genk - Belgium - Pro League.png,Kilmarnock,"Kilmarnock, Belgium",50.67864659981061,5.6236956401989415
Hibernian,hibernian,hibernian,100.0,beerhot,37.5,Belgium,Pro League,Beerschot - Belgium - Pro League.png,Hibernian,"Hibernian, Belgium",,
Aberdeen,aberdeen,aberdeen,100.0,beerhot,40.0,Belgium,Pro League,Beerschot - Belgium - Pro League.png,Aberdeen,"Aberdeen, Belgium",50.8525408,4.3549891
Inverness Caledonian Thistle,inverness caledonian thistle,nk veres rivne,47.61904761904761,zulte waregem,24.390243902439025,Belgium,Pro League,Zulte Waregem - Belgium - Pro League.png,Inverness Caledonian Thistle,"Inverness Caledonian Thistle, Belgium",,
Celtic,celtic,celtic,100.0,beerhot,30.76923076923077,Belgium,Pro League,Beerschot - Belgium - Pro League.png,Celtic,"Celtic, Belgium",51.0537928,3.721227
St. Mirren,st mirren,st mirren,100.0,zulte waregem,34.78260869565217,Belgium,Pro League,Zulte Waregem - Belgium - Pro League.png,St. Mirren,"St. Mirren, Belgium",,
Hamilton Academical FC,hamilton ademical,heart of midl,53.333333333333336,zulte waregem,40.0,Belgium,Pro League,Zulte Waregem - Belgium - Pro League.png,Hamilton Academical FC,"Hamilton Academical FC, Belgium",,
Dundee United,dundee united,dundee united,100.0,zulte waregem,30.76923076923077,Belgium,Pro League,Zulte Waregem - Belgium - Pro League.png,Dundee United,"Dundee United, Belgium",,
St. Johnstone FC,st johnstone,st johnstone,100.0,zulte waregem,23.07692307692308,Belgium,Pro League,Zulte Waregem - Belgium - Pro League.png,St. Johnstone FC,"St. Johnstone FC, Belgium",,
Dunfermline Athletic,dunfermline athletic,athletic,57.14285714285714,zulte waregem,36.36363636363637,Belgium,Pro League,Zulte Waregem - Belgium - Pro League.png,Dunfermline Athletic,"Dunfermline Athletic, Belgium",,
Dundee FC,dundee,dundee,100.0,zulte waregem,31.57894736842105,Belgium,Pro League,Zulte Waregem - Belgium - Pro League.png,Dundee FC,"Dundee FC, Belgium",,
Ross County FC,ross county,ross county,100.0,beerhot,33.333333333333336,Belgium,Pro League,Beerschot - Belgium - Pro League.png,Ross County FC,"Ross County FC, Belgium",,
Partick Thistle F.C.,partick thistle fc,fk spartak subotica,48.64864864864865,krc genk,28.57142857142857,Belgium,Pro League,KRC Genk - Belgium - Pro League.png,Partick Thistle F.C.,"Partick Thistle F.C., Belgium",,
Valencia CF,valencia cf,valencia cf,100.0,zulte waregem,25.0,Belgium,Pro League,Zulte Waregem - Belgium - Pro League.png,Valencia CF,"Valencia CF, Belgium",,
RCD Mallorca,rcd mallorca,rcd mallorca,100.0,krc genk,30.000000000000004,Belgium,Pro League,KRC Genk - Belgium - Pro League.png,RCD Mallorca,"RCD Mallorca, Belgium",,
CA Osasuna,ca osasuna,ca osasuna,100.0,krc genk,33.333333333333336,Belgium,Pro League,KRC Genk - Belgium - Pro League.png,CA Osasuna,"CA Osasuna, Belgium",,
Villarreal CF,villarreal cf,villarreal cf,100.0,zulte waregem,30.76923076923077,Belgium,Pro League,Zulte Waregem - Belgium - Pro League.png,Villarreal CF,"Villarreal CF, Belgium",,
RC Deportivo de La Coruña,rc deportivo de la coruna,deportivo alaves,58.53658536585367,krc genk,30.303030303030297,Belgium,Pro League,KRC Genk - Belgium - Pro League.png,RC Deportivo de La Coruña,"RC Deportivo de La Coruña, Belgium",,
Real Madrid CF,real madrid cf,real madrid,88.0,zulte waregem,29.629629629629623,Belgium,Pro League,Zulte Waregem - Belgium - Pro League.png,Real Madrid CF,"Real Madrid CF, Belgium",,
CD Numancia,cd numancia,rcd mallorca,60.86956521739131,krc genk,31.57894736842105,Belgium,Pro League,KRC Genk - Belgium - Pro League.png,CD Numancia,"CD Numancia, Belgium",,
FC Barcelona,barcelona,barcelona,100.0,krc genk,47.05882352941176,Belgium,Pro League,KRC Genk - Belgium - Pro League.png,FC Barcelona,"FC Barcelona, Belgium",,
Racing Santander,ring santander,randers,57.14285714285714,krc genk,27.27272727272727,Belgium,Pro League,KRC Genk - Belgium - Pro League.png,Racing Santander,"Racing Santander, Belgium",,
Sevilla FC,sevilla,sevilla,100.0,zulte waregem,20.0,Belgium,Pro League,Zulte Waregem - Belgium - Pro League.png,Sevilla FC,"Sevilla FC, Belgium",,
Real Sporting de Gijón,real sporting de gijon,sporting cp,54.54545454545454,krc genk,33.333333333333336,Belgium,Pro League,KRC Genk - Belgium - Pro League.png,Real Sporting de Gijón,"Real Sporting de Gijón, Belgium",,
Getafe CF,getafe cf,getafe cf,100.0,zulte waregem,27.27272727272727,Belgium,Pro League,Zulte Waregem - Belgium - Pro League.png,Getafe CF,"Getafe CF, Belgium",,
Real Betis Balompié,real betis balompie,real betis balompie,100.0,zulte waregem,31.25,Belgium,Pro League,Zulte Waregem - Belgium - Pro League.png,Real Betis Balompié,"Real Betis Balompié, Belgium",,
RC Recreativo,rc recreativo,r seraing,54.54545454545454,krc genk,38.095238095238095,Belgium,Pro League,KRC Genk - Belgium - Pro League.png,RC Recreativo,"RC Recreativo, Belgium",,
RCD Espanyol,rcd espanyol,espanyol,80.0,krc genk,50.0,Belgium,Pro League,KRC Genk - Belgium - Pro League.png,RCD Espanyol,"RCD Espanyol, Belgium",,
Real Valladolid,real valladolid,real valladolid cf,90.9090909090909,zulte waregem,21.42857142857143,Belgium,Pro League,Zulte Waregem - Belgium - Pro League.png,Real Valladolid,"Real Valladolid, Belgium",,
Athletic Club de Bilbao,athletic club de bilbao,athletic bilbao,78.94736842105263,zulte waregem,27.77777777777778,Belgium,Pro League,Zulte Waregem - Belgium - Pro League.png,Athletic Club de Bilbao,"Athletic Club de Bilbao, Belgium",,
UD Almería,ud almeria,ud almeria,100.0,zulte waregem,34.78260869565217,Belgium,Pro League,Zulte Waregem - Belgium - Pro League.png,UD Almería,"UD Almería, Belgium",,
Atlético Madrid,atletico madrid,atletico de madrid,90.9090909090909,zulte waregem,35.71428571428571,Belgium,Pro League,Zulte Waregem - Belgium - Pro League.png,Atlético Madrid,"Atlético Madrid, Belgium",,
Málaga CF,malaga cf,granada cf,63.1578947368421,zulte waregem,27.27272727272727,Belgium,Pro League,Zulte Waregem - Belgium - Pro League.png,Málaga CF,"Málaga CF, Belgium",,
Xerez Club Deportivo,xerez club deportivo,deportivo alaves,50.0,beerhot,29.629629629629623,Belgium,Pro League,Beerschot - Belgium - Pro League.png,Xerez Club Deportivo,"Xerez Club Deportivo, Belgium",,
Real Zaragoza,real zaragoza,real madrid,58.33333333333333,zulte waregem,38.46153846153846,Belgium,Pro League,Zulte Waregem - Belgium - Pro League.png,Real Zaragoza,"Real Zaragoza, Belgium",,
CD Tenerife,cd tenerife,cd leganes,57.14285714285714,krc genk,42.10526315789473,Belgium,Pro League,KRC Genk - Belgium - Pro League.png,CD Tenerife,"CD Tenerife, Belgium",,
Hércules Club de Fútbol,hercules club de futbol,herles almelo,55.55555555555556,zulte waregem,27.77777777777778,Belgium,Pro League,Zulte Waregem - Belgium - Pro League.png,Hércules Club de Fútbol,"Hércules Club de Fútbol, Belgium",,
Levante UD,levante ud,levante ud,100.0,zulte waregem,34.78260869565217,Belgium,Pro League,Zulte Waregem - Belgium - Pro League.png,Levante UD,"Levante UD, Belgium",,
Real Sociedad,real sociedad,real sociedad,100.0,krc genk,28.57142857142857,Belgium,Pro League,KRC Genk - Belgium - Pro League.png,Real Sociedad,"Real Sociedad, Belgium",,
Granada CF,granada cf,granada cf,100.0,krc genk,22.22222222222222,Belgium,Pro League,KRC Genk - Belgium - Pro League.png,Granada CF,"Granada CF, Belgium",,
Rayo Vallecano,rayo vallecano,rayo vallecano,100.0,krc genk,36.36363636363637,Belgium,Pro League,KRC Genk - Belgium - Pro League.png,Rayo Vallecano,"Rayo Vallecano, Belgium",,
RC Celta de Vigo,rc celta de vigo,celta de vigo,89.65517241379311,zulte waregem,34.48275862068966,Belgium,Pro League,Zulte Waregem - Belgium - Pro League.png,RC Celta de Vigo,"RC Celta de Vigo, Belgium",,
Elche CF,elche cf,elche cf,100.0,zulte waregem,28.57142857142857,Belgium,Pro League,Zulte Waregem - Belgium - Pro League.png,Elche CF,"Elche CF, Belgium",,
SD Eibar,sd eibar,sl benfica,55.55555555555556,zulte waregem,28.57142857142857,Belgium,Pro League,Zulte Waregem - Belgium - Pro League.png,SD Eibar,"SD Eibar, Belgium",,
Córdoba CF,cordoba cf,granada cf,60.0,beerhot,23.529411764705888,Belgium,Pro League,Beerschot - Belgium - Pro League.png,Córdoba CF,"Córdoba CF, Belgium",,
UD Las Palmas,ud las palmas,ud las palmas,100.0,zulte waregem,38.46153846153846,Belgium,Pro League,Zulte Waregem - Belgium - Pro League.png,UD Las Palmas,"UD Las Palmas, Belgium",,
Grasshopper Club Zürich,grasshopper club zurich,grasshopper club zurich,100.0,beerhot,20.0,Belgium,Pro League,Beerschot - Belgium - Pro League.png,Grasshopper Club Zürich,"Grasshopper Club Zürich, Belgium",,
AC Bellinzona,bellinzona,barcelona,63.1578947368421,beerhot,35.29411764705882,Belgium,Pro League,Beerschot - Belgium - Pro League.png,AC Bellinzona,"AC Bellinzona, Belgium",,
BSC Young Boys,b young boys,b young boys,100.0,beerhot,21.052631578947366,Belgium,Pro League,Beerschot - Belgium - Pro League.png,BSC Young Boys,"BSC Young Boys, Belgium",,
FC Basel,basel,basel,100.0,beerhot,33.333333333333336,Belgium,Pro League,Beerschot - Belgium - Pro League.png,FC Basel,"FC Basel, Belgium",,
FC Aarau,aarau,aarhus gf,57.14285714285714,zulte waregem,22.22222222222222,Belgium,Pro League,Zulte Waregem - Belgium - Pro League.png,FC Aarau,"FC Aarau, Belgium",,
FC Sion,sion,sion,100.0,beerhot,18.181818181818176,Belgium,Pro League,Beerschot - Belgium - Pro League.png,FC Sion,"FC Sion, Belgium",50.82682624683838,3.2693528384938237
FC Luzern,luzern,luzern,100.0,zulte waregem,31.57894736842105,Belgium,Pro League,Zulte Waregem - Belgium - Pro League.png,FC Luzern,"FC Luzern, Belgium",,
FC Vaduz,vaduz,cadiz cf,46.15384615384615,zulte waregem,11.111111111111116,Belgium,Pro League,Zulte Waregem - Belgium - Pro League.png,FC Vaduz,"FC Vaduz, Belgium",,
Neuchâtel Xamax,neuchatel xamax,cf estrela amadora,48.48484848484848,zulte waregem,42.85714285714286,Belgium,Pro League,Zulte Waregem - Belgium - Pro League.png,Neuchâtel Xamax,"Neuchâtel Xamax, Belgium",,
FC Zürich,zurich,zurich,100.0,zulte waregem,31.57894736842105,Belgium,Pro League,Zulte Waregem - Belgium - Pro League.png,FC Zürich,"FC Zürich, Belgium",,
FC St. Gallen,st gallen,st gallen,100.0,krc genk,44.44444444444444,Belgium,Pro League,KRC Genk - Belgium - Pro League.png,FC St. Gallen,"FC St. Gallen, Belgium",,
FC Thun,thun,oh leuven,46.15384615384615,beerhot,18.181818181818176,Belgium,Pro League,Beerschot - Belgium - Pro League.png,FC Thun,"FC Thun, Belgium",,
Servette FC,servette,servette,100.0,beerhot,40.0,Belgium,Pro League,Beerschot - Belgium - Pro League.png,Servette FC,"Servette FC, Belgium",,
FC Lausanne-Sports,lausanne sports,lausanne sport,96.55172413793105,beerhot,28.57142857142857,Belgium,Pro League,Beerschot - Belgium - Pro League.png,FC Lausanne-Sports,"FC Lausanne-Sports, Belgium",,
Lugano,lugano,lugano,100.0,krc genk,28.57142857142857,Belgium,Pro League,KRC Genk - Belgium - Pro League.png,Lugano,"Lugano, Belgium",,
